seed,loss,accuracy,num_correct,num_incorrect,cpu,duration
50,0.0030340440002431584,0.9993256343277732,6187113,733921,,255.28169226646423
104,0.0036985549498353767,0.9991818887013647,6107158,813876,,258.95827865600586
123,0.004310220557039004,0.9990827121251863,6107707,813327,,87.33640480041504
519,0.002515986374534071,0.9994308876443615,6348815,572219,,252.49609065055847
742,0.003806785509235376,0.9989385827449363,6049508,871526,,252.1471836566925
913,0.0033343220525997174,0.9990815822832492,6119896,801138,,252.12519645690918
1185,0.003285745902018081,0.9990933855501184,6064821,856213,,255.26471877098083
1283,0.0025117740740439594,0.9994272425795905,6205892,715142,,252.20088505744934
1412,0.00423577659739422,0.9990151666684501,6126243,794791,,256.14572978019714
1490,0.003455092876156297,0.9989178616280022,6003828,917206,,256.8673360347748
1681,0.00397578590769278,0.9989684810463324,6168945,752089,,260.83626532554626
1696,0.0035691822720167175,0.9992237019498673,6270455,650579,,259.38316583633423
1895,0.013497965027944847,0.9969219597521486,6260915,660119,,259.6626000404358
1951,0.002701497168168096,0.9994705953330608,6269750,651284,,258.1976001262665
2236,0.0025094645867451944,0.9995430686932152,6276448,644586,,259.35574436187744
2306,0.00795558879590007,0.9988330595597168,6139826,781208,,259.09557485580444
2345,0.003795061736049707,0.9990108804212697,6069032,852002,,254.82417798042297
2549,0.004070654876564374,0.9991965432648342,6099473,821561,,267.57703590393066
2743,0.005141515446950023,0.9982737296659301,5939545,981489,,262.239714384079
2773,0.002261615692643859,0.9995627971169005,6275514,645520,,259.9341564178467
3175,0.004052260955110493,0.9989357084735144,6055743,865291,,258.83531665802
3254,0.003051958116231229,0.999303226248762,6223012,698022,,255.8968470096588
3284,0.003539958707121325,0.9989436901471449,6073136,847898,,251.92558217048645
4157,0.0054922056346462375,0.998678732636472,6166301,754733,,246.11307525634766
4305,0.004279099572883119,0.9986799292848347,6171106,749928,,261.90474247932434
4430,0.006151584739397545,0.9984512370463868,6001329,919705,,260.7687101364136
4647,0.002718455033949465,0.9994168500558538,6194242,726792,,261.17327070236206
4729,0.003015726436738906,0.9993086964155553,6247122,673912,,261.732301235199
4800,0.0040346222396630575,0.9989516264875292,6085938,835096,,262.38647413253784
4810,0.041087809933881815,0.9861113271708623,5950078,970956,,264.6554124355316
5358,0.0029363574923856406,0.9994464203592623,6225666,695368,,264.46302700042725
5615,0.0027140450299747132,0.9994274291468245,6206506,714528,,267.8369264602661
5781,0.021589947637516458,0.9925970861875248,5933691,987343,,256.4733176231384
5928,0.002970714759535715,0.9995455858432667,6278664,642370,,253.72749972343445
6082,0.006011436177166104,0.9981788948445098,6028577,892457,,253.89473342895508
6155,0.0031547206816675125,0.9992441988848453,6162399,758635,,254.6196846961975
6159,0.0032347446126395852,0.9991305021360068,6242999,678035,,252.8673255443573
6204,0.005354019394708984,0.9984466162416079,6019724,901310,,253.46701550483704
