seed,accuracy-bound,duration-proof-search,duration,tricks,err-upper-bound,err-upper-bound-is-max,total-sequences,dropped-sequences,dropped-sequences-frac,most-gap-below-value,most-gap-below-value-frac,most-gap-below-value-num-std,max-gap,perf-time-enabled-ns,perf-instruction-count,perf-branch-misses,perf-page-faults,proof-flop-estimate,proof-int-op-estimate,proof-branch-estimate,normalized-accuracy-bound
50,0.3876923322677612,33.72223281860352,1.595346212387085,EUPUGlobalMaxDiffExactAttnMeanQueryDiffAttnErrMeanRecursiveMaxDiffSubproductRecursive,102.04337310791016,True,16777216,5705646,0.3400830030441284,51,1.0,1.5,24,,,,,2251906,0,0,0.38775064318613756
50,0.74551922082901,33.63508415222168,1.598404884338379,EUPUGlobalMaxDiffExactAttnMeanQueryDiffAttnErrSvd,12.080363273620604,False,16777216,2141863,0.1276649832725525,7,0.9995096921920776,1.5,11,,,,,4720072,0,0,0.7456313507496084
50,0.0697233080863952,33.617443561553955,1.5700275897979736,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrExactEqkeMaxDiffExact,0.0,False,16777216,1380679,0.0822948813438415,7,0.9908927083015442,1.5,11,,,,,2236199,0,0,0.06973379483010503
50,0.0592881441116333,33.52318215370178,1.5940494537353516,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiff,7.44656229019165,True,16777216,1642702,0.0979126691818237,8,0.9972440600395204,1.5,12,,,,,3213064,0,0,0.059297061353075144
50,0.0641661286354065,33.51697325706482,1.596540927886963,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffExact,1.7115379571914673,True,16777216,1429088,0.0851802825927734,7,0.9907345175743104,1.5,11,,,,,3469096,0,0,0.06417577955077927
50,0.0581366419792175,33.7136287689209,1.580008029937744,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffSubproduct,5.653870582580566,True,16777216,1583929,0.0944095253944397,8,0.9977860450744628,1.5,12,,,,,2454854,0,0,0.05814538602882328
50,0.0197362899780273,33.50820755958557,1.572340488433838,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffSubproductRecursive,98.99838256835938,True,16777216,4565815,0.2721437811851501,68,1.0,1.5,24,,,,,1924550,0,0,0.01973925841742673
50,0.0596268773078918,33.480305671691895,1.5773539543151855,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiff,7.544865131378174,True,16777216,1645649,0.0980883240699768,8,0.9972440600395204,1.5,12,,,,,3221383,0,0,0.05963584549654645
50,0.0576283931732177,33.53387689590454,1.5722525119781494,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiffSubproduct,5.719217300415039,True,16777216,1588787,0.0946990847587585,8,0.9977860450744628,1.5,12,,,,,2479811,0,0,0.05763706077959214
50,0.0205222964286804,33.60779309272766,1.5754380226135254,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiffSubproductRecursive,98.37596130371094,True,16777216,4552017,0.2713213562965393,68,1.0,1.5,24,,,,,1936837,0,0,0.020525383087487782
50,0.0197418928146362,33.669463872909546,1.5811405181884766,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanRecursiveMaxDiffSubproductRecursive,102.04337310791016,True,16777216,4623227,0.2755658030509949,72,1.0,1.5,24,,,,,1951267,0,0,0.019744862096731042
50,0.0471546053886413,33.72797179222107,1.5803556442260742,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrSvd,12.080363273620604,False,16777216,2118500,0.126272439956665,12,1.0,1.5,13,,,,,4419433,0,0,0.04716169768352835
