seed,loss,accuracy,num_correct,num_incorrect,cpu,duration
50.0,0.0116182732738378,0.9972110271473892,47413824.0,7887946.0,,2031.924532413483
104.0,0.0109319171989249,0.997207727245812,47926515.0,7375255.0,,2004.97549700737
123.0,0.008023742760145,0.9984119547969936,47775087.0,7526683.0,,2014.5349097251892
519.0,0.0088316412647748,0.9979285714096636,48200899.0,7100871.0,,2009.2516431808472
742.0,0.0103424130845282,0.9978341881015128,48337412.0,6964358.0,,2083.3485016822815
913.0,0.0080910607206281,0.9985225100986912,48303350.0,6998420.0,,2053.0514121055603
1185.0,0.0070287797350848,0.998509118246276,48283190.0,7018580.0,,2056.9523849487305
1283.0,0.006368527781263,0.9984435785776892,48446841.0,6854929.0,,2086.522859811783
1412.0,0.0090557824174866,0.9979182064063148,48422222.0,6879548.0,,2113.566764831543
1490.0,0.0094823874212256,0.9982229845108934,47836720.0,7465050.0,,2094.983003616333
1681.0,0.009037715396571,0.9979849733592592,48973313.0,6328457.0,,2093.174306869507
1696.0,0.0080646865312084,0.9982923108849576,48502229.0,6799541.0,,2101.9202370643616
1895.0,0.0077789739350331,0.9987240803010736,49103060.0,6198710.0,,2099.0864667892456
1951.0,0.005957100142653,0.9987537436761046,49138595.0,6163175.0,,2162.6870908737183
2236.0,0.0107115962908596,0.9978630448214298,48288371.0,7013399.0,,2108.8660111427307
2306.0,0.007378872599039,0.998439995546028,48989066.0,6312704.0,,2105.3572282791138
2345.0,0.0228805675279458,0.9952398477993678,47881431.0,7420339.0,,2023.971000432968
2549.0,0.011218703523143,0.9975114962200065,47256185.0,8045585.0,,2000.387813091278
2743.0,0.0073352793702018,0.998300514568922,48529059.0,6772711.0,,1993.545326709747
2773.0,0.0086758979597382,0.9981172729677956,48415713.0,6886057.0,,1996.912630558014
3175.0,0.0097668793007047,0.997926591335445,48575874.0,6725896.0,,1978.8321511745453
3254.0,0.0093683037582697,0.9978960769084696,48411260.0,6890510.0,,2048.5085213184357
3284.0,0.0109328848882388,0.9972373672756064,48851666.0,6450104.0,,2025.9865453243256
4157.0,0.014731280538791,0.9964119126034382,48445915.0,6855855.0,,2048.213342666626
4305.0,0.0076898776551028,0.998234181914878,48364384.0,6937386.0,,2000.0153980255127
4430.0,0.0080993682039277,0.9982921513442056,48416530.0,6885240.0,,1976.772010564804
4647.0,0.0069556734463082,0.9987374853020022,49006630.0,6295140.0,,1986.9659957885744
4729.0,0.0098449071710924,0.9978374875957308,48759158.0,6542612.0,,1957.2432565689087
4800.0,0.0075228509961398,0.9984933289699834,49171341.0,6130429.0,,1966.5571825504303
4810.0,0.0086483494444787,0.9984303386691468,48728257.0,6573513.0,,2049.7527832984924
5358.0,0.0067792057908987,0.998538032452126,48529191.0,6772579.0,,2051.109125137329
5615.0,0.00935173331647,0.9977294993017598,48069514.0,7232256.0,,2071.703015565872
5781.0,0.0145543150810592,0.9964942927305572,48167294.0,7134476.0,,2150.199928998947
