seed,accuracy-bound,normalized-accuracy-bound,correct-count-lower-bound,duration-proof-search,duration
50,0.9276767147958964,0.9283027302906388,1069538433811221798,1.430511474609375e-06,121.14580607414246
104,0.9124586002910307,0.9132057041956113,1051993142338992685,4.291534423828125e-06,120.1268618106842
123,0.929860702823525,0.9307144358904814,1072056400574078559,2.6226043701171875e-06,121.09088563919067
519,0.9077489669165744,0.9082658722466748,1046563304742767822,3.5762786865234375e-06,120.98036670684814
742,0.9295359201513492,0.9305235939502119,1071681951647003552,2.1457672119140625e-06,120.95777225494385
913,0.9331926912428441,0.9340505398069435,1075897921675812587,2.6226043701171875e-06,120.27012348175049
1185,0.9326838704661178,0.9335302224551969,1075311291260334057,4.291534423828125e-06,121.26116156578064
1283,0.9057090547470554,0.9062281036179862,1044211446135020332,2.1457672119140625e-06,121.18074655532837
1412,0.9359997638061607,0.9369224762898892,1079134255999052176,2.1457672119140625e-06,120.43758511543274
1490,0.9236067984070256,0.9246073515011163,1064846139684540847,1.9073486328125e-06,120.77723479270935
1681,0.9531113037673126,0.9540954713295975,1098862518397203616,2.86102294921875e-06,120.73328804969788
1696,0.8806548894045219,0.8813390712070056,1015325960131637729,2.384185791015625e-06,120.86141800880432
1895,0.8676786745094713,0.87035767044914,1000365402930734357,3.0994415283203125e-06,120.84504628181458
1951,0.9027658071727926,0.9032439887558248,1040818112713270799,2.384185791015625e-06,122.35543298721313
2236,0.9332538043966837,0.9336804322166959,1075968380345088668,1.9073486328125e-06,121.43898892402649
2306,0.8793830587827148,0.8804104453354245,1013859639257538944,2.1457672119140625e-06,121.11009073257446
2345,0.9409171384688129,0.941848739497252,1084803602993832651,2.1457672119140625e-06,119.35551118850708
2549,0.8825654820238356,0.8832751553964434,1017528723448987702,2.1457672119140625e-06,119.63524603843689
2743,0.9100094965578608,0.9115831354816812,1049169517978008236,2.6226043701171875e-06,119.59278178215027
2773,0.9199346474577145,0.9203370214569186,1060612437886917447,1.9073486328125e-06,119.70860981941223
3175,0.9140105054072282,0.9149843154610405,1053782367120566176,2.384185791015625e-06,119.73926782608032
3254,0.9189042366544062,0.9195449514396528,1059424455113204273,1.9073486328125e-06,120.39602541923523
3284,0.9042473623856113,0.9052035378014303,1042526229578391844,2.86102294921875e-06,120.14174580574036
4157,0.9050223554777336,0.9062197140100408,1043419735780221318,2.86102294921875e-06,119.59432649612427
4305,0.9224074911837069,0.9236267437999407,1063463432596146260,1.6689300537109375e-06,124.46418952941895
4430,0.9269789465199647,0.9284168441336694,1068733961760667657,3.0994415283203125e-06,124.25502371788025
4647,0.9176433271439381,0.9181787630383201,1057970725423222294,2.6226043701171875e-06,124.81174349784851
4729,0.9109204091763798,0.9115505673509922,1050219728724716605,2.6226043701171875e-06,124.5234272480011
4800,0.9115472438352906,0.9125038887422746,1050942419882807699,2.384185791015625e-06,125.31207251548767
4810,0.9275797559811061,0.9406440534886844,1069426647908588828,2.6226043701171875e-06,125.59222745895386
5358,0.875814746616778,0.8762998483720182,1009745655426280181,2.1457672119140625e-06,124.45733547210693
5615,0.9115672152748328,0.9120894511100273,1050965445384933780,2.1457672119140625e-06,123.45650696754456
5781,0.9223490466803111,0.9292280417857863,1063396050671355246,2.1457672119140625e-06,127.63872241973877
5928,0.9309543807248475,0.9313776118969579,1073317325345626663,2.1457672119140625e-06,127.2026162147522
6082,0.9081466979671527,0.9098035458950655,1047021857424029596,2.1457672119140625e-06,127.2234058380127
6155,0.9282916435296995,0.9289937780631314,1070247398372224016,5.7220458984375e-06,127.40224742889404
6159,0.9431116936103283,0.9439324408514025,1087333752809531388,1.9073486328125e-06,127.40766167640686
6204,0.9246148670926253,0.9260533833777683,1066008363750289461,2.1457672119140625e-06,127.06699705123901
6532,0.9228968105105253,0.923523343731561,1064027579370654990,3.337860107421875e-06,127.63991904258728
6549,0.9138066574669904,0.9144157922188297,1053547346446596189,2.384185791015625e-06,127.52712321281433
6589,0.89730898845012,0.8994073465222097,1034526829061160226,2.86102294921875e-06,120.117751121521
6910,0.9096960443676573,0.9102015128629111,1048808132207256497,4.5299530029296875e-06,119.92129445075989
7098,0.8998939319628114,0.9053549990372497,1037507066025136122,2.1457672119140625e-06,120.07851076126099
7238,0.94359485919532,0.9442735589368935,1087890804802754264,2.1457672119140625e-06,120.21328854560852
7310,0.9094387001443498,0.9098423273480216,1048511434518118956,1.9073486328125e-06,120.0015823841095
7467,0.9283949261689725,0.9296276748186,1070366475148094300,2.384185791015625e-06,119.76503014564514
7790,0.9281547597387381,0.9293667609917156,1070089582105992498,2.1457672119140625e-06,119.4680609703064
7884,0.9281560839159146,0.9299229165572955,1070091108778335176,1.9073486328125e-06,119.97486782073975
8048,0.9146952937143187,0.9151651487434512,1054571874285914106,1.9073486328125e-06,123.56495213508606
8299,0.9294149979544115,0.9300089854210928,1071542537845769773,2.6226043701171875e-06,123.71410369873047
8721,0.8907464703658803,0.8921603853351782,1026960760837468909,2.6226043701171875e-06,123.95180153846741
8745,0.9157891238215864,0.9166387852944924,1055832974538969513,4.0531158447265625e-06,123.82478713989258
8840,0.915741176901404,0.9167966123574454,1055777695503611553,3.0994415283203125e-06,124.71438550949097
8893,0.9264754074837436,0.9271499037506925,1068153420777399245,2.384185791015625e-06,124.56979823112488
9132,0.9303905885952934,0.9308358316589258,1072667317275335619,2.6226043701171875e-06,124.25878596305847
9134,0.8899500441594753,0.8906497301658481,1026042543937272237,1.6689300537109375e-06,124.296147108078
9504,0.9211499915132221,0.9220846746878956,1062013634184008315,2.1457672119140625e-06,122.99771857261658
9816,0.8650911755310181,0.8662211379532518,997382219715327308,1.9073486328125e-06,123.01243019104004
10248,0.9146476059034285,0.9152332943580563,1054516893983231278,2.384185791015625e-06,123.84306764602661
11124,0.8935483183670254,0.8943410367486861,1030191071650628831,2.1457672119140625e-06,123.56814122200012
11130,0.909725222212197,0.9111686290874895,1048841771971684390,2.86102294921875e-06,123.51162648200989
11498,0.8849998123524305,0.8884110621199268,1020335315234141419,2.1457672119140625e-06,123.08042001724243
11598,0.9368140013980332,0.9378396833815693,1080073008028581264,2.1457672119140625e-06,122.96897959709167
11611,0.8764032893845178,0.8790465697094947,1010424199039588206,2.86102294921875e-06,122.90064597129822
12141,0.9264046489139254,0.9270870660764676,1068071841700620721,1.9073486328125e-06,124.01135587692261
12287,0.8808737568844555,0.8818052344281665,1015578297155912342,1.9073486328125e-06,124.41161799430847
12457,0.9242132549060259,0.9252353001788111,1065545336423846827,2.6226043701171875e-06,124.12160062789917
12493,0.9270813846692407,0.9287774458782326,1068852064905860147,2.86102294921875e-06,124.04022574424744
12552,0.9203599099403004,0.9209313503891994,1061102732148193241,2.1457672119140625e-06,124.23471689224243
12561,0.940481782478271,0.9415854953773483,1084301671710177535,2.384185791015625e-06,123.97803235054016
13036,0.8792428059355863,0.8800614430525603,1013697938734002136,2.1457672119140625e-06,123.6700587272644
13293,0.9319189173419082,0.9327711787457735,1074429360353416766,2.384185791015625e-06,123.70837998390198
13468,0.9198300637102591,0.9211606443834353,1060491861035443869,1.6689300537109375e-06,124.17533731460571
13654,0.9303818779480428,0.930889205484843,1072657274582801388,2.1457672119140625e-06,123.98871517181396
13716,0.9326849562068636,0.9334210121243784,1075312543034188439,2.1457672119140625e-06,124.3698399066925
14095,0.9491923041433342,0.949622920386604,1094344219454172832,2.1457672119140625e-06,124.25939679145813
14929,0.9312372155976233,0.9319313370821852,1073643411752702566,3.5762786865234375e-06,124.70683169364929
15043,0.8987964309805531,0.900436413111174,1036241733541363367,2.384185791015625e-06,124.26401853561401
15399,0.9460702676344442,0.9475877038137452,1090744756424905824,1.9073486328125e-06,124.28785419464111
15622,0.9424874014425698,0.9433668925002033,1086613992944165050,1.9073486328125e-06,123.8713116645813
15662,0.8880730948535616,0.8893446547199398,1023878568719427355,1.9073486328125e-06,124.34981846809387
16069,0.9202486355770902,0.9212374931564505,1060974441541936860,2.1457672119140625e-06,124.283620595932
16149,0.9287293256282366,0.9296446734403266,1070752011475808859,2.86102294921875e-06,124.37177920341492
16197,0.918951173849087,0.9201788808264725,1059478570014317550,4.5299530029296875e-06,125.64125514030457
16284,0.9104358331896664,0.9111686710798809,1049661050649018555,2.86102294921875e-06,125.59009265899658
17080,0.9392574070015789,0.9399546579704557,1082890062893386014,2.86102294921875e-06,125.13258647918701
17096,0.8688166427374995,0.8695531373510339,1001677390972387368,2.384185791015625e-06,123.93087935447693
17194,0.9361990040329102,0.936894104333894,1079363964341054409,2.1457672119140625e-06,123.8678572177887
17197,0.8628547375630881,0.8639273532518156,994803782288381546,1.9073486328125e-06,125.36792349815369
18146,0.9057059279908317,0.9069074355966212,1044207841230530346,1.430511474609375e-06,124.57681798934937
18289,0.9148324885829108,0.9160148927188808,1054730049200235627,1.6689300537109375e-06,124.99643969535828
18668,0.9031768264981191,0.9037111216241891,1041291985732248715,1.430511474609375e-06,124.45826458930969
