seed,accuracy-bound,normalized-accuracy-bound,duration-proof-search,duration,tricks,err-upper-bound,err-upper-bound-is-max,total-sequences,dropped-sequences,dropped-sequences-frac,most-gap-below-value,most-gap-below-value-frac,most-gap-below-value-num-std,max-gap,perf-time-enabled-ns,perf-instruction-count,perf-branch-misses,perf-page-faults,proof-flop-estimate,proof-int-op-estimate,proof-branch-estimate
50,0.4532856211282598,0.45455335810407516,660.35884308815,17.68219780921936,EUPUGlobalMaxDiffExactAttnMeanQueryDiffAttnErrMeanMaxDiffSubproductRecursive,90.56056213378906,True,1180591620717411303424,431964758319052860391,0.3658883823489789,48,0.9976558089256288,1.5,82,,,,,22019954,0,0
50,0.4496692833258354,0.45092690622581094,660.9974575042725,17.65340518951416,EUPUGlobalMaxDiffExactAttnMeanQueryDiffAttnErrMeanRecursiveMaxDiffSubproductRecursive,92.41493225097656,True,1180591620717411303424,436188740424805084534,0.3694662343611636,50,0.9981060028076172,1.5,82,,,,,22042704,0,0
50,0.633213410885626,0.6349843650415592,677.2657935619354,17.6754949092865,EUPUGlobalMaxDiffExactAttnMeanQueryDiffAttnErrSvd,16.71936798095703,False,1180591620717411303424,271655977933253631051,0.230101563628053,23,0.9971687197685242,1.5,75,,,,,26044758,0,0
50,0.2790347303812708,0.2798151271747109,667.7718584537506,17.57740044593811,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrExactEqkeMaxDiffExact,0.0,False,1180591620717411303424,133394732990355986127,0.1129897338330216,10,0.9960305094718932,1.5,57,,,,,21491189,0,0
50,0.3187947902824863,0.31968638693700285,655.5640633106232,17.641398191452026,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiff,7.819921016693115,True,1180591620717411303424,140768737951361079724,0.1192357589882096,11,0.9967721104621888,1.5,57,,,,,22521110,0,0
50,0.3007044062284655,0.30154540818572495,668.0852038860321,17.630948066711426,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffExact,2.054997682571411,True,1180591620717411303424,134662312826378776962,0.1140634157174081,10,0.9955950379371644,1.5,57,,,,,23565622,0,0
50,0.3224679554279304,0.323369825091464,651.0061206817627,17.668076515197754,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffSubproduct,4.690543174743652,True,1180591620717411303424,138663480656447438620,0.1174525366969703,11,0.997231900691986,1.5,57,,,,,21533396,0,0
50,0.2238803343926127,0.2245064768618156,669.8072743415833,17.623854398727417,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMaxDiffSubproductRecursive,90.79090881347656,True,1180591620717411303424,315041129732094511920,0.2668502166233004,39,0.9996218681335448,1.5,79,,,,,20466580,0,0
50,0.3191264050832359,0.3200189291890658,669.3365163803101,17.596840620040894,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiff,7.892693519592285,True,1180591620717411303424,140807721380829183739,0.1192687792373661,11,0.9967721104621888,1.5,57,,,,,22537749,0,0
50,0.3222168724758852,0.3231180399174037,669.9341502189636,17.67322850227356,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiffSubproduct,4.723296165466309,True,1180591620717411303424,138688325775515359906,0.1174735813313993,11,0.997231900691986,1.5,57,,,,,21583313,0,0
50,0.2240868703916751,0.22471359049517886,669.2224452495575,17.604467630386353,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanMaxDiffSubproductRecursive,90.56056213378906,True,1180591620717411303424,314870898271680977007,0.2667060249676709,39,0.9996218681335448,1.5,79,,,,,20487123,0,0
50,0.220925018755892,0.22154289587818504,666.7474491596222,17.622483491897583,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrMeanRecursiveMaxDiffSubproductRecursive,92.41493225097656,True,1180591620717411303424,317395673338149363159,0.2688445926333758,40,0.9996218681335448,1.5,79,,,,,20509873,0,0
50,0.2687557308091604,0.2695073795743716,651.7312231063843,17.651233673095703,EUPUMaxDiffAttnDropAverageQueryPerOutputLogitReasoningAttnErrSvd,16.71936798095703,False,1180591620717411303424,212464967595650777380,0.1799648276908335,19,0.999778687953949,1.5,73,,,,,24511927,0,0
50,0.6199546254888763,0.6216884978321104,655.8609726428986,17.717703104019165,EUPUMaxDiffAttnMeanQueryDiffAttnErrExactEqkeMaxDiffExact,0.0,False,1180591620717411303424,170703458514814744571,0.1445914535723057,10,0.9978079795837402,1.5,46,,,,,21930101,0,0
50,0.5962565352910829,0.5979241294560568,653.6148040294647,17.74675703048706,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiff,7.819921016693115,True,1180591620717411303424,180850294876255933180,0.1531861582808443,11,0.9982236623764038,1.5,49,,,,,22960022,0,0
50,0.6108587688327003,0.6125672021298402,657.0936739444733,17.72335910797119,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiffExact,2.054997682571411,True,1180591620717411303424,173785863082459979118,0.1472023517978684,11,0.9986680150032043,1.5,46,,,,,24004534,0,0
50,0.6014761331692802,0.603158325364548,656.4667203426361,17.728997707366943,EUPUMaxDiffAttnMeanQueryDiffAttnErrMaxDiffSubproduct,4.690543174743652,True,1180591620717411303424,179685104986077531972,0.1521992040540556,11,0.9982348680496216,1.5,49,,,,,21972308,0,0
