x  y
25605846 0.458541518104111
23631668 0.471719259826958
23615029 0.473135415222197
22677232 0.478962621768195
22627315 0.479615096743605
25572951 0.516182924624825
23582134 0.584666205380786
23598773 0.584969660386319
22644337 0.599818017389696
22594420 0.599838319260492
26044758 0.633213410885626
26011863 0.644603416867527
24070580 0.724711569937054
24053941 0.725885718962129
23066227 0.728336135103726
23116144 0.728538643597629
24021046 0.739136563908858
24037685 0.740246082655336
23083249 0.743256245238493
23033332 0.743367746998673
