seed,accuracy-bound,correct-count-lower-bound,duration-proof-search,duration,normalized-accuracy-bound
50.0,0.961512565612793,16131504.0,1.9073486328125e-06,38.83851170539856,0.96165718204202
104.0,0.9540664553642272,16006579.0,1.430511474609375e-06,38.937081813812256,0.9543216280235836
519.0,0.9575543999671936,16065097.0,1.9073486328125e-06,38.904009103775024,0.9577427264007566
742.0,0.9496808648109436,15933001.0,2.384185791015625e-06,38.71036148071289,0.949997847554124
913.0,0.9586440920829772,16083379.0,3.5762786865234375e-06,39.00469946861267,0.9589956297351642
1185.0,0.9471079111099244,15889834.0,1.430511474609375e-06,38.98424816131592,0.9473611096868416
1283.0,0.9523741602897644,15978187.0,1.9073486328125e-06,38.82437229156494,0.952537901360245
1412.0,0.9576621651649476,16066905.0,2.1457672119140625e-06,38.54018187522888,0.957893513710353
1490.0,0.9604446887969972,16113588.0,2.384185791015625e-06,38.49392604827881,0.9607263119221946
1681.0,0.9536314010620116,15999280.0,1.9073486328125e-06,38.61070418357849,0.958850689022158
1696.0,0.94882333278656,15918614.0,2.1457672119140625e-06,38.63958263397217,0.9491998508577024
1895.0,0.9457859992980956,15867656.0,2.1457672119140625e-06,38.63199830055237,0.9461252623545126
1951.0,0.9351727962493896,15689596.0,2.384185791015625e-06,38.5397367477417,0.9414042092352032
2236.0,0.9514381289482116,15962483.0,2.1457672119140625e-06,38.534841775894165,0.951803993222254
2306.0,0.917985498905182,15401241.0,1.9073486328125e-06,38.47499394416809,0.9216571376593472
2345.0,0.9534837603569032,15996803.0,1.430511474609375e-06,38.32429122924805,0.9547529730533366
2549.0,0.9561135172843932,16040923.0,2.6226043701171875e-06,38.247042655944824,0.9562833740982302
2743.0,0.9589934945106506,16089241.0,2.384185791015625e-06,38.19661235809326,0.9592329995056944
2773.0,0.9543529748916626,16011386.0,1.430511474609375e-06,38.38890290260315,0.9545745321052084
3175.0,0.9655911922454834,16199932.0,2.1457672119140625e-06,38.30359506607056,0.9657718871804392
3254.0,0.953490436077118,15996915.0,1.430511474609375e-06,38.06154203414917,0.953951797776649
3284.0,0.9517896771430968,15968381.0,1.6689300537109375e-06,38.1384391784668,0.95211922862295
4157.0,0.9417224526405334,15799481.0,2.1457672119140625e-06,38.28090262413025,0.94283397872837
4305.0,0.9520913362503052,15973442.0,3.0994415283203125e-06,38.3991904258728,0.9527854858036624
4430.0,0.9531248807907104,15990782.0,2.6226043701171875e-06,38.39439392089844,0.9540219125551316
4647.0,0.9550095796585084,16022402.0,2.384185791015625e-06,38.3353853225708,0.9556649282574416
4729.0,0.9614182114601136,16129921.0,1.6689300537109375e-06,38.23409175872803,0.961647199425799
4800.0,0.9654539227485656,16197629.0,1.9073486328125e-06,38.07459616661072,0.9656319439174256
4810.0,0.9539394974708556,16004449.0,2.384185791015625e-06,37.82778358459473,0.9540290022879602
5358.0,0.9532962441444396,15993657.0,2.1457672119140625e-06,37.77342772483826,0.9540884737090612
5615.0,0.9477946758270264,15901356.0,1.9073486328125e-06,37.70903658866882,0.9479709666619291
5781.0,0.955473780632019,16030190.0,1.9073486328125e-06,37.97545576095581,0.9557361104958554
5928.0,0.9519410729408264,15970921.0,1.9073486328125e-06,37.847973346710205,0.9522467165332156
6082.0,0.9536247849464417,15999169.0,1.6689300537109375e-06,38.022130250930786,0.953821038617212
6155.0,0.923999547958374,15502140.0,1.9073486328125e-06,38.214991331100464,0.9259086822895074
6159.0,0.9306013584136964,15612900.0,1.6689300537109375e-06,38.231661319732666,0.9364842143247194
6204.0,0.951615869998932,15965465.0,2.384185791015625e-06,38.07880687713623,0.9517279066214308
6532.0,0.9590541124343872,16090258.0,1.6689300537109375e-06,37.788779973983765,0.9593225729155443
6549.0,0.9550800323486328,16023584.0,1.9073486328125e-06,37.868162631988525,0.9555174335175404
6589.0,0.9528834223747252,15986731.0,2.384185791015625e-06,38.38957619667053,0.9531252654942994
6910.0,0.9464821815490724,15879336.0,1.6689300537109375e-06,38.58798098564148,0.9468092743488624
7098.0,0.9543471932411194,16011289.0,1.9073486328125e-06,38.60229802131653,0.9549533875929036
7238.0,0.954232394695282,16009363.0,2.384185791015625e-06,38.63671898841858,0.9546677567366834
7310.0,0.9572166204452516,16059430.0,2.1457672119140625e-06,38.66985011100769,0.9574958127448528
7467.0,0.946559488773346,15880633.0,2.1457672119140625e-06,38.672584772109985,0.9467546270787978
7790.0,0.9567221999168396,16051135.0,1.9073486328125e-06,38.65555930137634,0.9569559458175874
7884.0,0.955520510673523,16030974.0,2.1457672119140625e-06,38.562336444854736,0.9563382642709752
8048.0,0.9479501843452454,15903965.0,1.430511474609375e-06,38.32385468482971,0.948344168594784
8299.0,0.9594807624816896,16097416.0,1.6689300537109375e-06,38.336446046829224,0.9597477974127724
8721.0,0.9618207812309264,16136675.0,1.6689300537109375e-06,38.27627468109131,0.9620607055420868
8745.0,0.941984236240387,15803873.0,1.9073486328125e-06,38.19683790206909,0.9427504745406412
8840.0,0.959838330745697,16103415.0,1.430511474609375e-06,38.15774393081665,0.9602804306773276
8893.0,0.9483525156974792,15910715.0,1.6689300537109375e-06,38.24443531036377,0.9488490757277542
